list_placement,id,title,author_id,author_name,avg_rating,number_of_ratings,list_score,number_of_list_votes
137,343,Perfume: The Story of a Murderer,39402,Patrick Süskind,4.02,329018,119757,1363
138,256008,Lonesome Dove,1055,Larry McMurtry,4.48,149414,119713,1343
139,38709,Holes,6569,Louis Sachar,3.97,970610,118972,1423
140,100915,"The Lion, the Witch and the Wardrobe",1069006,C.S. Lewis,4.22,2130461,118406,1476
141,472331,Watchmen,3961,Alan Moore,4.36,487574,116722,1322
142,4556058,The Last Olympian,15872,Rick Riordan,4.51,669339,116594,1341
143,830502,It,3389,Stephen King,4.24,803914,116436,1353
144,114345,The Little House Collection,5300,Laura Ingalls Wilder,4.34,141574,115088,1361
145,6656,The Divine Comedy,5031312,Dante Alighieri,4.05,119757,114552,1359
146,34268,Peter Pan,5255014,J.M. Barrie,4.05,277453,113782,1410
147,355697,All Quiet on the Western Front,4116,Erich Maria Remarque,3.98,355568,113211,1327
148,5907,"The Hobbit, or There and Back Again",656983,J.R.R. Tolkien,4.27,2900069,107557,1286
149,1423,The Compleat Works of Wllm Shkspr,4390174,Reduced Shakespeare Company,4.44,8442,107374,1233
150,9712,Love in the Time of Cholera,13450,Gabriel García Márquez,3.92,412732,106643,1268
151,2802316,Shadow Kiss,137902,Richelle Mead,4.35,325801,105205,1170
152,11735983,Insurgent,4039811,Veronica Roth,4.02,1169569,105028,1195
153,3412,The Thorn Birds,4917067,Colleen McCullough,4.23,314837,104397,1264
154,35545737,A Walk to Remember,2345,Nicholas Sparks,4.18,673779,104191,1217
155,113946,How the Grinch Stole Christmas!,61105,Dr. Seuss,4.36,330623,98302,1267
156,13,The Ultimate Hitchhiker&#39;s Guide to the Galaxy,4,Douglas Adams,4.36,287269,97867,1151
157,19501,"Eat, Pray, Love",11679,Elizabeth Gilbert,3.57,1476483,97307,1126
158,6867,Atonement,2408,Ian McEwan,3.91,439865,97241,1163
159,92303,The Importance of Being Earnest,3565,Oscar Wilde,4.18,302401,97145,1208
160,37415,Their Eyes Were Watching God,15151,Zora Neale Hurston,3.94,265926,96136,1111
161,7190,The Three Musketeers,4785,Alexandre Dumas,4.07,273993,95549,1198
161,236093,The Wonderful Wizard of Oz,3242,L. Frank Baum,3.98,370202,95549,1248
163,2282133,Frostbite,137902,Richelle Mead,4.27,309918,94718,1076
164,32929,Goodnight Moon,18479,Margaret Wise Brown,4.28,305883,94057,1168
165,7784,The Lorax,61105,Dr. Seuss,4.34,283752,92433,1130
166,12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",1654,Terry Pratchett,4.24,544291,92419,1056
167,5996153,Blood Promise,137902,Richelle Mead,4.32,276564,89997,1026
168,32261,Tess of the D&#39;Urbervilles,15905,Thomas Hardy,3.8,238426,89231,1093
169,1078,The Good Earth,704,Pearl S. Buck,3.99,223393,88598,1078
170,4900,Heart of Darkness,3345,Joseph Conrad,3.43,415294,88520,1093
171,2120932,The Battle of the Labyrinth,15872,Rick Riordan,4.39,742470,87630,1036
172,1622,A Midsummer Night&#39;s Dream,947,William Shakespeare,3.95,442649,87403,1151
173,18335634,Clockwork Princess,150038,Cassandra Clare,4.57,338105,87152,975
174,2547,The Prophet,6466154,Kahlil Gibran,4.22,235304,86813,1046
