id,title,list_placement,author_id,author,pages,date,series,avg_rating,ratings,list_score,list_votes
36576608,Flowers for Algernon,116,11072,Daniel Keyes,216,1959,False,4.14,478952,142450,1657
70401,On the Road,117,1742,Jack Kerouac,307,1957,True,3.62,349264,140738,1595
485894,The Metamorphosis,118,5223,Franz Kafka,201,1915,False,3.82,644482,140151,1650
99561,Looking for Alaska,119,1406384,John Green,221,2005,False,4.02,1114576,139938,1534
1232,The Shadow of the Wind,120,815,Carlos Ruiz Zafón,487,2001,True,4.27,463313,139091,1538
1618,The Curious Incident of the Dog in the Night-Time,121,1050,Mark Haddon,226,2003,False,3.88,1192926,138457,1594
4948,The Very Hungry Caterpillar,122,3362,Eric Carle,26,1969,False,4.3,396619,137241,1601
6900,Tuesdays with Morrie,123,2331,Mitch Albom,210,1997,False,4.11,783300,135685,1553
9717,The Unbearable Lightness of Being,124,6343,Milan Kundera,320,1984,False,4.1,342201,135422,1520
119073,The Name of the Rose,125,1730,Umberto Eco,536,1980,False,4.12,301606,132506,1537
10365,Where the Red Fern Grows,126,6810,Wilson Rawls,272,1961,False,4.08,342509,131268,1528
15881,Harry Potter and the Chamber of Secrets,127,1077326,J.K. Rowling,341,1998,True,4.43,2730682,130760,1568
22034,The Godfather,128,12605,Mario Puzo,448,1969,True,4.36,335278,128488,1519
12296,The Scarlet Letter,129,7799,Nathaniel Hawthorne,279,1850,False,3.41,706972,128261,1597
168642,In Cold Blood,130,431149,Truman Capote,343,1965,False,4.07,530128,125917,1494
36236124,Fight Club,131,2546,Chuck Palahniuk,218,1996,False,4.19,499357,125348,1445
3431,The Five People You Meet in Heaven,132,2331,Mitch Albom,196,2003,True,3.94,578657,125029,1441
6339664,"Hush, Hush",133,2876763,Becca Fitzpatrick,391,2009,True,3.96,574332,124749,1379
233093,The Cat in the Hat,134,61105,Dr. Seuss,61,1957,True,4.17,428579,120396,1483
7126,The Count of Monte Cristo,135,4785,Alexandre Dumas,1276,1844,False,4.25,747326,120027,1382
30165203,American Gods,136,1221698,Neil Gaiman,635,2001,True,4.11,759570,119896,1358
343,Perfume: The Story of a Murderer,137,39402,Patrick Süskind,263,1985,False,4.02,329018,119757,1363
256008,Lonesome Dove,138,1055,Larry McMurtry,960,1985,True,4.48,149414,119713,1343
38709,Holes,139,6569,Louis Sachar,233,1998,True,3.97,970610,118972,1423
100915,"The Lion, the Witch and the Wardrobe",140,1069006,C.S. Lewis,206,1950,True,4.22,2130461,118406,1476
472331,Watchmen,141,3961,Alan Moore,416,1987,True,4.36,487574,116722,1322
4556058,The Last Olympian,142,15872,Rick Riordan,381,2009,True,4.51,669339,116594,1341
830502,It,143,3389,Stephen King,1116,1986,False,4.24,803914,116436,1353
114345,The Little House Collection,144,5300,Laura Ingalls Wilder,2700,1971,True,4.34,141574,115088,1361
6656,The Divine Comedy,145,5031312,Dante Alighieri,798,1320,True,4.05,119757,114552,1359
34268,Peter Pan,146,5255014,J.M. Barrie,176,1911,False,4.05,277453,113782,1410
355697,All Quiet on the Western Front,147,4116,Erich Maria Remarque,296,1929,True,3.98,355568,113211,1327
5907,"The Hobbit, or There and Back Again",148,656983,J.R.R. Tolkien,366,1937,True,4.27,2900069,107557,1286
1423,The Compleat Works of Wllm Shkspr (abridged),149,4390174,Reduced Shakespeare Company,137,1994,False,4.44,8442,107374,1233
9712,Love in the Time of Cholera,150,13450,Gabriel García Márquez,348,1985,False,3.92,412732,106643,1268
2802316,Shadow Kiss,151,137902,Richelle Mead,443,2008,True,4.35,325801,105205,1170
11735983,Insurgent,152,4039811,Veronica Roth,525,2012,True,4.02,1169569,105028,1195
3412,The Thorn Birds,153,4917067,Colleen McCullough,692,1977,False,4.23,314837,104397,1264
35545737,A Walk to Remember,154,2345,Nicholas Sparks,215,1999,False,4.18,673779,104191,1217
113946,How the Grinch Stole Christmas!,155,61105,Dr. Seuss,64,1957,False,4.36,330623,98302,1267
13,The Ultimate Hitchhiker's Guide to the Galaxy,156,4,Douglas Adams,815,1996,True,4.36,287269,97867,1151
19501,"Eat, Pray, Love",157,11679,Elizabeth Gilbert,368,2006,False,3.57,1476483,97307,1126
6867,Atonement,158,2408,Ian McEwan,351,2001,False,3.91,439865,97241,1163
92303,The Importance of Being Earnest,159,3565,Oscar Wilde,76,1895,False,4.18,302401,97145,1208
37415,Their Eyes Were Watching God,160,15151,Zora Neale Hurston,219,1937,False,3.94,265926,96136,1111
7190,The Three Musketeers,161,4785,Alexandre Dumas,625,1844,True,4.07,273993,95549,1198
236093,The Wonderful Wizard of Oz,161,3242,L. Frank Baum,154,1900,True,3.98,370202,95549,1248
2282133,Frostbite,163,137902,Richelle Mead,327,2008,True,4.27,309918,94718,1076
